model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
LR,360,9,side_effect_4,0,0.6185534591194969,228,37,33,27,0.29
LR,360,9,side_effect_4,1,0.7810978907517576,175,83,22,64,0.19
LR,360,9,side_effect_4,2,0.7505976095617529,163,88,13,57,0.17
LR,360,9,side_effect_4,3,0.7336776859504133,170,72,24,56,0.2
LR,360,9,side_effect_4,4,0.7648751508400632,204,62,24,57,0.22
Adaboost,360,0,side_effect_4,0,0.6696161515453639,195,77,23,36,0.49
Adaboost,360,0,side_effect_4,1,0.7012833944473547,188,42,41,42,0.49
Adaboost,360,0,side_effect_4,2,0.6662657342657343,127,148,11,54,0.48
Adaboost,360,0,side_effect_4,3,0.6630035116711424,154,81,39,64,0.49
Adaboost,360,0,side_effect_4,4,0.7327805417357657,190,80,22,45,0.49
Adaboost,360,1,side_effect_4,0,0.7581730769230769,192,68,20,44,0.49
Adaboost,360,1,side_effect_4,1,0.6753676470588234,181,74,33,47,0.49
Adaboost,360,1,side_effect_4,2,0.6983437484123355,204,39,45,36,0.5
Adaboost,360,1,side_effect_4,3,0.684622726251965,143,101,22,51,0.49
Adaboost,360,1,side_effect_4,4,0.7027124773960217,251,29,48,31,0.5
Adaboost,360,2,side_effect_4,0,0.6893765694944863,208,50,28,43,0.49
Adaboost,360,2,side_effect_4,1,0.6719928355957767,145,127,20,58,0.48
Adaboost,360,2,side_effect_4,2,0.6387159981558321,196,45,39,33,0.49
Adaboost,360,2,side_effect_4,3,0.6718885281385282,215,25,47,30,0.5
Adaboost,360,2,side_effect_4,4,0.677051707225933,149,122,17,62,0.49
Adaboost,360,3,side_effect_4,0,0.5561965811965812,189,71,53,37,0.49
Adaboost,360,3,side_effect_4,1,0.6655022369308083,231,28,38,25,0.5
Adaboost,360,3,side_effect_4,2,0.7770538395538396,185,67,20,54,0.49
Adaboost,360,3,side_effect_4,3,0.7431338389014143,123,115,12,70,0.47
Adaboost,360,3,side_effect_4,4,0.6701680672268908,206,67,30,38,0.49
Adaboost,360,4,side_effect_4,0,0.6732363779942091,189,73,26,32,0.49
Adaboost,360,4,side_effect_4,1,0.6974588077052409,183,74,32,49,0.49
Adaboost,360,4,side_effect_4,2,0.6812602291325696,156,78,33,61,0.49
Adaboost,360,4,side_effect_4,3,0.695473372781065,239,21,41,24,0.5
Adaboost,360,4,side_effect_4,4,0.6263705237400593,217,52,43,36,0.49
