model,data_num,iter,side_effect,test_fold,auc,,acc,,precision,,recall,,tn,fp,fn,tp,cutoff point
MLP,400,8,side_effect_1,3,0.74654321,,0.703030303,,0.346774194,,0.716666667,,189,81,17,43,0.15
MLP,400,8,side_effect_1,4,0.702389486,,0.643067847,,0.295302013,,0.733333333,,174,105,16,44,0.09
MLP,400,9,side_effect_1,0,0.618861766,,0.687306502,,0.257425743,,0.5,,196,75,26,26,0.1
MLP,400,9,side_effect_1,1,0.677736777,,0.643292683,,0.276119403,,0.649122807,,174,97,20,37,0.02
MLP,400,9,side_effect_1,2,0.678380187,,0.642642643,,0.385620915,,0.702380952,,155,94,25,59,0.01
MLP,400,9,side_effect_1,3,0.68046133,0.663791125,0.712074303,0.68303682,0.306122449,0.316679401,0.545454545,0.558538812,200,68,25,30,0.16
MLP,400,9,side_effect_1,4,0.690214768,0.047495477,0.735795455,0.097731818,0.32038835,0.079491243,0.589285714,0.195832765,226,70,23,33,0.17
RF,360,0,side_effect_1,0,0.788130497,,0.651315789,,0.314685315,,0.849056604,,153,98,8,45,0.19
RF,360,0,side_effect_1,1,0.737160029,,0.804093567,,0.436619718,,0.534482759,,244,40,27,31,0.3
RF,360,0,side_effect_1,2,0.716149664,,0.646551724,,0.263513514,,0.735849057,,186,109,14,39,0.16
RF,360,0,side_effect_1,3,0.732759104,,0.636645963,,0.358024691,,0.816901408,,147,104,13,58,0.2
RF,360,0,side_effect_1,4,0.755500899,,0.778425656,,0.462365591,,0.623188406,,224,50,26,43,0.23
RF,360,1,side_effect_1,0,0.758417694,,0.761494253,,0.402061856,,0.609375,,226,58,25,39,0.23
RF,360,1,side_effect_1,1,0.731541219,,0.665697674,,0.331081081,,0.753846154,,180,99,16,49,0.19
RF,360,1,side_effect_1,2,0.740574853,,0.639751553,,0.311258278,,0.796610169,,159,104,12,47,0.15
RF,360,1,side_effect_1,3,0.762284432,,0.706624606,,0.4,,0.735294118,,174,75,18,50,0.2
RF,360,1,side_effect_1,4,0.823139881,,0.756097561,,0.354545455,,0.8125,,209,71,9,39,0.17
RF,360,2,side_effect_1,0,0.78808675,,0.657320872,,0.358974359,,0.848484848,,155,100,10,56,0.13
RF,360,2,side_effect_1,1,0.766075141,,0.813504823,,0.454545455,,0.576923077,,223,36,22,30,0.33
RF,360,2,side_effect_1,2,0.784100888,,0.757834758,,0.45045045,,0.675675676,,216,61,24,50,0.23
RF,360,2,side_effect_1,3,0.739841331,,0.638297872,,0.296052632,,0.789473684,,165,107,12,45,0.16
